countries,Region:,image,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Djibouti,,,39961,40256,40402,40395,40389,40383,40376,40370,40364,40357,40351,40345,40338,40332,40326,40319,40313,40307,40300,40302,40312,40330,40356,40390,40424,40458,40492,40526,40560,40594,40628,40663,40697,40731,40765,40800,40834,40868,40903,40954,41021,41105,41205,41322,41440,41558,41676,41794,41913,42032,42151,42271,42391,42512,42633,42754,42875,42997,43119,43233,43338,43436,43524,43604,43685,43765,43846,43926,44014,44173,44403,44706,45083,45534,45989,46449,46913,47383,47856,48315,48759,49188,49601,49998,50398,50801,51207,51617,52030,52520,53089,53739,54472,55289,56118,56960,57815,58682,59562,60665,62351,64334,66380,68509,70731,73010,75391,77865,80411,83041,85956,89284,93138,97682,102956,108788,114885,121177,127684,135404,144393,154236,165247,177334,191402,208591,229316,253092,278438,302869,324130,341325,355119,367734,382169,400717,424292,452286,482344,521114,577183,628528,623208,611239,623482,629628,644659,667793,694931,719381,742046,765496,789140,806412,818380,830863,846957,865202,882893,901106,919206,936819,954311,971761,989091,1006266,1023269,1040242,1057204,1073999,1090162,1105562
Dominica,,,23453,23599,23746,23894,24043,24193,24344,24496,24649,24809,24977,25152,25336,25527,25720,25914,26109,26307,26505,26683,26841,26977,27092,27186,27281,27375,27470,27565,27661,27716,27731,27706,27641,27536,27431,27327,27223,27119,27016,26971,26985,27057,27188,27378,27570,27762,27957,28152,28349,28598,28901,29258,29672,30142,30620,31105,31598,32099,32608,33074,33497,33874,34206,34490,34777,35066,35357,35651,35954,36308,36714,37174,37689,38260,38839,39427,40024,40630,41245,41835,42399,42936,43445,43925,44411,44902,45399,45901,46409,46883,47322,47727,48096,48428,48763,49100,49439,49781,50125,50564,50208,50384,50567,50834,51234,51918,52974,54337,55992,57839,59396,60416,61244,62051,62863,63756,64740,65781,66883,68025,68913,69446,69890,70352,70840,71319,71766,72161,72498,72788,73000,72949,72650,72290,71957,71613,71233,70824,70408,69996,69501,69170,69135,69196,69219,69224,69182,69096,68957,68713,68365,68171,68281,68457,68591,68686,68761,68789,68794,68805,68775,68758,68908,68839,69388,70027,70098,70422,70840,71446,72011,72435
Dominican Republic,,,146835,150094,153690,157635,161681,165831,170088,174454,178932,183525,188236,193068,198024,203107,208321,213668,219153,224778,230548,236461,242522,248733,255099,261623,268314,275176,282213,289431,296833,304424,312209,320194,328383,336781,345394,354227,363286,372577,382106,391878,401900,412178,422719,433530,444617,455988,467650,479610,491875,504857,518585,533091,548407,564566,581202,598328,615958,634109,652793,671395,689896,708276,726515,744593,763120,782108,801569,821514,841890,864808,890408,918831,950228,984754,1020535,1057616,1096044,1135869,1177140,1218096,1258671,1298797,1338403,1377411,1417555,1458870,1501389,1545147,1590180,1638373,1689881,1744867,1803502,1865961,1930584,1997444,2066621,2138193,2212243,2287724,2381743,2455308,2532760,2614570,2700720,2791109,2885529,2983696,3085353,3190239,3298024,3408420,3521168,3635808,3752316,3868717,3987097,4108923,4230885,4352958,4475880,4599848,4724807,4851190,4978588,5106460,5235324,5365077,5495451,5625872,5755808,5885248,6014975,6147216,6282107,6417803,6554326,6692727,6834210,6980041,7129004,7278410,7427347,7576083,7723940,7869754,8012315,8150078,8282125,8411380,8540790,8669038,8795104,8919857,9043135,9164770,9284169,9402209,9522954,9648061,9775756,9903743,10030885,10157054,10282116,10405832,10527589,10647247,10765532,10881886,10999668,11117873
Ecuador,Americas,,813456,824467,834719,844190,853767,863454,873250,883156,893175,903308,913555,923918,934399,944998,955718,966558,977522,988610,999823,1011157,1022614,1034195,1045901,1057734,1069700,1081801,1094039,1106416,1118932,1131589,1144389,1157334,1170425,1183664,1197052,1210592,1224284,1238131,1252134,1266296,1280617,1295100,1309747,1324558,1339538,1354686,1370005,1385497,1401164,1418060,1436214,1455657,1476420,1498536,1520982,1543765,1566889,1590358,1614179,1636928,1658572,1679080,1698418,1716552,1734879,1753402,1772122,1791042,1809339,1827111,1844347,1861035,1877163,1892719,1908405,1924221,1940167,1956246,1972458,1995134,2024480,2060706,2104030,2154674,2206537,2259649,2314039,2369738,2426778,2489084,2556906,2630505,2710151,2796125,2884826,2976341,3070760,3168173,3268677,3369365,3518730,3613182,3710592,3811223,3915138,4022386,4133246,4248164,4367095,4490254,4618160,4751510,4890435,5034337,5183287,5337356,5495765,5658454,5825663,5997045,6172219,6350954,6533633,6720451,6911130,7105791,7304352,7506669,7712722,7922496,8135850,8352607,8572618,8795879,9022978,9254308,9490096,9729380,9969790,10210190,10449845,10686277,10914222,11132833,11347655,11561683,11775223,11987840,12199692,12412056,12626511,12845523,13070617,13301188,13534598,13770015,14009064,14251838,14496800,14742768,14989581,15237734,15483884,15722988,15957995,16195904,16439588,16696947,17015672,17343742,17588596,17797736
Egypt,Asia,,5638537,5720998,5788954,5841932,5895389,5949331,6003760,6058682,6114102,6170022,6226449,6283385,6340837,6398808,6457304,6516328,6575886,6635982,6696621,6757809,6819549,6881847,6944708,7008136,7072137,7136717,7201879,7267629,7333973,7406215,7484469,7568853,7659487,7756492,7854718,7954181,8054896,8156878,8260143,8366405,8475721,8588153,8703762,8822610,8943072,9065170,9188926,9314363,9441504,9569189,9697412,9826167,9955444,10085236,10216711,10349890,10484794,10621446,10759869,10894882,11026391,11154299,11278506,11398913,11520594,11643562,11767831,11893414,12032372,12171632,12311184,12451016,12591116,12731472,12873393,13016896,13161999,13308719,13457075,13613985,13779639,13954229,14137952,14331008,14526700,14725065,14926138,15129957,15336560,15586398,15881134,16222478,16612195,17052103,17503661,17967176,18442965,18931354,19432675,19939567,21150060,21606364,22108170,22659266,23241220,23841704,24453502,25078382,25700976,26345770,27034500,27747872,28485028,29245942,30026652,30818472,31613136,32408416,33204632,33995960,34781992,35555972,36330772,37120780,37930376,38775584,39649056,40577356,41576640,42632456,43748552,44899572,46088652,47353672,48676444,50035844,51424316,52841316,54298448,55765848,57214632,58611032,59989148,61382204,62775844,64166908,65565196,66993732,68446008,69907888,71371368,72854256,74393760,75963328,77522424,79075312,80629664,82218760,83844784,85501064,87252416,89200056,91240384,93377896,95592328,97723792,99784032,101789384,103740768,105618672,107465128,109262184
El Salvador,Americas,,366470,372365,378489,384849,391314,397886,404567,411359,418263,425282,432417,439671,447044,454540,462160,469906,477780,485785,493922,502940,512875,523760,535632,548528,561733,575254,589099,603274,617789,631579,644608,656837,668229,678743,689421,700265,711276,722459,733816,744523,754561,763909,772546,780451,788435,796498,804640,812864,821169,831708,844555,859790,877492,897743,918459,939650,961328,983502,1006186,1029421,1053220,1077598,1102569,1128147,1154314,1181086,1208475,1236495,1263054,1290052,1317496,1345393,1373749,1402571,1431999,1462043,1492719,1524037,1556013,1585900,1613621,1639094,1662238,1682967,1703955,1725205,1746719,1768502,1790557,1814752,1841147,1869802,1900780,1934144,1968093,2002639,2037791,2073560,2109956,2151989,2182419,2232154,2283112,2335947,2390860,2448639,2509194,2572512,2637605,2705559,2779332,2858899,2937826,3014882,3095173,3179515,3266444,3354614,3443257,3530960,3619097,3708015,3798110,3890643,3984052,4076754,4166894,4256703,4346535,4433043,4509000,4549183,4599905,4689685,4782222,4876757,4970790,5067205,5170444,5270833,5367182,5461074,5552210,5630994,5693040,5748201,5797142,5842637,5885085,5923862,5958482,5988102,6011278,6026854,6035653,6037817,6034439,6044130,6068108,6091181,6114039,6137354,6161293,6185641,6209528,6231072,6250513,6266661,6276340,6280222,6292734,6314165
Equatorial Guinea,,,108091,108939,109706,110392,111083,111778,112477,113180,113888,114601,115317,116039,116765,117495,118230,118969,119713,120462,121216,121998,122810,123653,124525,125429,126339,127255,128178,129108,130045,130988,131938,132895,133859,134830,135808,136793,137785,138785,139791,140465,140805,140810,140479,139812,139148,138487,137829,137174,136523,135739,134825,133783,132614,131321,130040,128772,127516,126273,125041,123920,122907,122001,121200,120503,119810,119121,118436,117755,117048,116785,116969,117603,118690,120233,121796,123379,124983,126608,128254,129895,131530,133160,134784,136402,138038,139695,141371,143068,144785,147495,151255,156122,162158,169426,177020,184954,193244,201905,210954,218852,226391,230178,233990,237858,241799,245814,249902,254068,258328,262732,267359,272270,277501,283026,288862,295019,301520,308386,315336,318852,316961,311969,305370,298058,290565,283272,276013,271384,270879,273938,282517,296959,315749,336756,358004,378386,397281,414778,431597,448434,465560,483153,501343,520247,540005,560744,582588,605579,629743,655039,684986,719283,754127,789690,826368,864740,905425,948820,994982,1043698,1094538,1144590,1193641,1243947,1295193,1346974,1398940,1450703,1502102,1553037,1596057,1634473
Eritrea,,,684015,692106,694751,691795,688839,685883,682927,679971,677015,674059,671104,668148,665192,662236,659280,656324,653368,650412,647456,644629,641929,639355,636904,634577,632243,629905,627561,625212,622857,620497,618132,615762,613386,611005,608618,606226,603829,601426,599018,596604,594185,591760,589330,586895,584454,582008,579556,577099,574636,572855,571750,571316,571548,572438,573313,574172,575014,575841,576651,577328,577872,578283,578561,578707,578834,578942,579030,579099,582573,586540,591007,595983,601474,607488,613563,619699,625896,632155,638476,644601,650524,656241,661749,667043,672379,677758,683180,688646,694155,700696,708291,716964,726739,737640,748704,759935,771334,782904,794648,807779,822581,834945,848454,863012,878545,895021,912418,930928,950595,971442,993569,1016934,1041559,1067303,1094053,1121749,1150266,1179563,1209608,1240570,1272748,1306239,1340840,1376523,1413223,1450870,1489659,1529800,1571195,1613834,1657983,1703797,1751049,1799819,1849598,1899246,1949620,2000360,2051549,2102135,2149967,2039225,1921162,1981424,2042501,2157227,2264083,2291571,2322761,2356488,2392888,2461930,2547428,2653393,2763143,2831735,2880094,2926172,3005783,3083900,3147733,3207574,3252600,3296370,3323429,3340005,3365288,3396933,3445380,3498819,3555869,3620324
Estonia,Europe,,479333,485113,490962,496882,502873,508937,515073,521284,527569,533930,540368,546884,553478,560152,566906,573741,580659,587661,594747,601918,609176,616521,623955,631478,639092,646798,654597,662490,670478,678562,686744,695025,703405,711887,720470,729157,737949,746847,755853,764966,774190,783525,792972,802534,812210,822004,831915,841946,852098,862372,872770,883294,893944,904723,915632,926672,937846,949154,960598,972235,984067,996097,1008328,1020764,1033352,1046097,1058998,1072058,1085321,1096175,1104588,1110528,1113963,1114859,1115755,1116653,1117551,1118450,1119349,1120029,1120489,1120730,1120750,1120551,1120351,1120152,1119952,1119753,1119554,1118862,1117679,1116007,1113846,1111198,1108557,1105921,1103292,1100669,1098053,1098155,1102086,1116343,1130243,1143309,1155806,1168284,1179959,1190798,1199877,1207081,1218073,1233247,1248165,1262540,1277336,1292004,1305809,1319747,1334232,1348708,1362004,1374799,1387624,1399859,1412123,1424043,1435356,1447123,1458858,1468657,1476989,1485771,1495377,1505721,1516125,1525790,1536031,1547709,1559598,1568053,1570676,1565621,1540386,1504446,1475730,1452777,1434670,1421491,1411151,1403494,1396881,1388000,1379241,1370663,1362489,1354665,1346711,1340576,1337013,1334557,1331535,1327435,1322682,1317985,1314531,1314658,1315928,1317550,1322146,1327039,1329449,1328704
Eswatini,,,66771,67033,67503,68181,68866,69558,70257,70963,71677,72397,73124,73859,74601,75351,76108,76873,77645,78426,79214,80010,80814,81626,82446,83274,84111,84956,85810,86672,87543,88423,89311,90209,91115,92031,92956,93890,94833,95786,96749,97721,98703,99695,100697,101708,102730,103763,104805,105859,106922,108135,109501,111023,112706,114554,116432,118341,120281,122252,124256,126269,128290,130320,132357,134402,136479,138588,140729,142903,145119,147534,150154,152988,156041,159320,162668,166087,169578,173142,176781,180465,184196,187973,191798,195669,199619,203648,207758,211952,216230,220550,224911,229314,233758,238244,242816,247476,252225,257066,261999,267305,271656,278573,285572,292644,299814,307090,314451,321935,329545,337268,345074,352981,361081,369535,378542,388327,398869,409652,420382,431377,442874,454928,467518,480673,494633,509545,525462,542337,560243,579100,598568,616213,634449,655515,677313,702409,730156,758676,794440,825960,854020,889719,925170,953454,953745,953586,973593,990740,1005162,1018383,1030504,1041400,1050818,1058808,1065776,1071895,1077747,1084015,1089885,1094890,1099926,1105379,1111453,1118329,1125872,1133941,1142529,1151397,1160430,1169620,1180663,1192273
Ethiopia,Africa,https://public.flourish.studio/country-flags/svg/et.svg,18434000,18425864,18417728,18409591,18401455,18393319,18385183,18377047,18368911,18360774,18352638,18344502,18336366,18328230,18320094,18311957,18303821,18295685,18287549,18279413,18271277,18263140,18255004,18246868,18238732,18230596,18222460,18214323,18206187,18198051,18189915,18181779,18173643,18165506,18157370,18149234,18141098,18132962,18124826,18116689,18108553,18100417,18092281,18084145,18076009,18067872,18059736,18051600,18043464,18035328,18027192,18019055,18010919,18002783,17994647,17986511,17978374,17970238,17962102,17953966,17945830,17937694,17929557,17921421,17913285,17905149,17897013,17888877,17888877,17888877,17888877,17888877,17888877,17888877,17888877,17888877,17888877,17888877,17888877,17888877,17888877,17888877,17888877,17888877,17888877,17888877,17888877,17888877,17888877,17888877,17888877,17888877,17888877,17888877,17888877,17888877,17888877,17888877,17888877,17968011,17709958,18101148,18496798,18891918,19292152,19703746,20127944,20499420,20816576,21227214,21739718,22281678,22852164,23448974,24073698,24727512,25377652,26051598,26778656,27530396,28308246,29099600,29891330,30694322,31488614,32252786,33062222,33695020,34259072,34758824,34945472,35818844,37213396,38235184,39202892,40285960,41455312,42851960,44511536,46195952,47878076,49937436,52011560,53791672,55620212,57476540,59347656,61233480,63136492,65077584,67031872,69018936,71073224,73168848,75301024,77469944,79691056,81996184,84357104,86755584,89237800,91817936,94451280,97084376,99746768,102471896,105293232,108197944,111129440,114120592,117190920,120283024
Europe,Europe,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAARMAAAC3CAMAAAAGjUrGAAAAsVBMVEUAM5n/zAAAMJr/zwD/0wD/0QAAJZ7/zgAAKZ0AK5zDoksAL5sAIZ8xRo7/1QAALZsAKZwAG6Cah2XovCsAI55pZn3/2QBJU4iqkV29n0+Ofm19c3UAGKHctDTiuC4XOpXzxBhRWIY/TYujjGHLqEULNpeSgWteYIFxa3omQJKtk1vPq0HtwCErQpEVOZaCdnK4m1JYXISzl1djY3+XhWfYsTn3xw+IenBJU4eciWFDT4u9irCTAAAH/klEQVR4nO2da3uiOhCAm5AQkDSIIkqrFW/1hrXttvby/3/Y4ab1AJ6ztQtEdt4vTe2TJsTMZDIZJldXAAAAAAAAAAAAAAAAAAAAdQZX3QH5wJ8wKGm4z6vugmwYXadrVN0JydB6oqdV3QnJsDzFs6ruhFwYY4HEGIQnpqmG9CcU0Uk/Kjer7lLVGKtpI8D1GGKeGxanq79ouixzP226DlUUhSGEWPCTOm7+PMmvfeHo9wsz73PeYQrao7BOrpliLu71YrtXCfarq+b+QZ8NSDIkZDDLnyWq+2oX2bmKMMnuhKWK+z0aDQnt9U8Y+HxHcifZZaPfEvJ04rma98mY3J9Yc8wnQm7rJzz2VKHPJyxVfheo2GBY2N2JmaQ9U2VaI+ExtAibIrbrR8VmSkDwUCBGJ5QhMUz/qRnV6O8Yonb8j2qwUhvzXivg5ZGG+iIstnrv/37yQHSov+GbNkkLD35PaoSVH1+i4rwGg6K9OIRSGq23wU9KxDYlQnzgPHPjCvNnZ5ASHm0rwsqRulHCys5LLXaK6tijBwMEkfYy9VR4KX7FQ8F/iWVKeLThHfmqTL1x/np+cRi2K5KHYqLH08utMV/ulxR9mJEMbPUES2oL167PimwtkiHZPeWsLMbXKOEcZcGfdsmgLGrlTeij6LFYu39O5XZcGZ1TWVrMTqAUWPBkYvx9TzQei7gy6dRHcsLtioJo2wt9JN9fNrTQt+K1KVJObJguEx4oV5fra8H876sEy2dirXM3ULU1cu2bc6GE+tF6I+L6u8KDrwV5CyrzhSLm9REerdEeRgaqdu1NvutabE6860jgmg/tRi0MtgjzY2+UGGrru9tbvaUmCzTmH/WZJ1d6brGMygBwUZQn9RejX5ofZS0P2selHJDZmR1/QeCluBArzuw4p3zNf5jmvXMhWyDVpWl3WUHwAb2QLVC4uUn7mgsBD+XfAuEIfU4QvdHiXwptSbuhiMz1Qlv6Kd3rkKWrIDYYRuXuQyENPcQtDQcMKe4ybqmQhn6MeSsECQg99CwsCOelGGNcf3GilkL3mxK1JG4l1bVHh+GRk92/LspO0a79o6OA8Ohd2p0QtloHHzsTj3Zxp1MGfzxqqWXJqk5C7K4Xd5Wh/ECSPwbvoKQlryv5SbLWjcWH3hbdUfs2Fh/Sld3RpK3inirrwsdkHYc30ZXsY2IFsqOE57u06IXADBuhwbove1yt0RVITNWVYEXH0Oi3hIlndRq0J3lQutYjZGthPkek4Bgae0rQnGNrS4jkQenWzt+EPdTxq1NsTzXnNXLPaht/J7Xw4FGDxxMZWx/bIjWKuZ0kRonBGyOZzZOrh6/Joc0KbWl21FIxuyoAAAAAAAAA+Hupbtsh7YbHqCwNA/6U1YVinnolqXD4naTHO+bCeahmouAHJ/+d1MpRG+KmmhCZ5o1oyBlfYDPltRrh4a8Kk/KMJ3zPgMyqEB48I9K9n6DFaRjC9wzerKhc1umtHrVmvYXvJ8QJIGRxVz/GaRh2DDE/TsNQUryz2Ypb9oOWd3HLj6U0/L9gvE6lYeiVpfDUXqrltTTBOdaW7g/5EaK7UXn6zh7tvoIuGNlKdKqhbQ7xIGKtl6ntTH26f/+SxkdL0mBYbnKifVP2V2XdJKf2riWZga8m8QRkUXbEkL5IojtWspltVrjqBMNSfqoFexrMUBquPBIpkxBjJJCCeoQhWva3pdJAufaC1sVILtnRVpQMZvzTo6Tk3Zi5INT75LMBkS04x9pFgXam2nAa5QqPHbSomVF4oVzCY4yUJNDOuiXl7o2b5DYeCrvLpBIeo3N4u0gbv5dpSuLReC8xJu7INCZXR50p2bo+bk6qIQEAAAAAAACAGgA5HDJADocskMMhA+RwyAI5HLJADocjIIdDFsjhkAFyOOQAORxygBwOeUAOhxwgh0MWyOGQBXI4ZIAcDlkgh0MWyOGQAXI45AA5HADgz/MzoZdaZZwLfv/JVZDLUiPCykLr3Zxvxek3khsh52H56/N3ynx9xuUj0oM34gdXQZpEbOonPM0WPX8LFGxuaOtSjvx+H37Hzn8/wZ4qJ++YvEQMmwdYDyLY2lthkdu/LwU4qswtipB4iGoX6NAsDePJb4f4DCEWFf12bl6D3M8+2/6/K7f9OtwjqW/ahDEWX90WIAazPF2LcwfKnA3EcWXS3kjrof8O2FodfOyIiZd8Jzv3c/UFtl7IUeWV1B7678DniY8dKd5n/qG30XVOuMvUTy+5G5yheY30rK7HRxzB4nHCRtF64pSlakbXG4eHFnot5CYBX5Hkmz71RVuectLXzJNZRmq1EdTfQie7cvoqSGMskBjnC090CaUS/oO3Os0T/hqsN5NHwbJXQTbjBBDhXZGTOA1D2l5VXYWJx0mw/lSUSqQYMKGBfrQWipIWHmMVp2EI9A3z4jQMq9R04UhRFhZ/QpTUSHb0rfOKg3nfHN456asgm24qDYObmifm3LkbauFRwNrZ1kd41EFilASmSuYqSN5hyiFqQmGZo3etsdpXvh9cRvTa74DfDwOhZs8djsJWyGCW2f3i0WEgtG6NhAfnFg8f9XvxwTvt9fP+/J+V60rzPhmTkuJqL4HIUKWRmVt1V2QBDwVidEIZKieu9hIIRIf6G75pExCePXzgPHPjCvNnp6SgdOnBS/ErHgr+q6w3OmTHmC/35qk+rINn8U9gfM0NDEMCAAAAAAAAAAAAAAAAAAAA/M38A/4wjA6bLbkpAAAAAElFTkSuQmCC",279988343,281713860,283474669,285265239,287073040,288898177,290740756,292600889,294478686,296410600,298403811,300432016,302521931,304666854,306830713,309013674,311215909,313437586,315678880,317977607,320343249,322700200,325181977,327725453,330294077,332888107,335507823,338153488,340825382,343512376,346224861,348929570,351659818,354405276,357177411,359976492,362802790,365656565,368538106,371466412,374454928,377474877,380556560,383687964,386850961,390045897,393273113,396532959,399825784,403185896,406629896,410117085,413688564,417330587,421010166,424727733,428482719,432278569,436112732,439414124,442200578,444373917,446048921,447186295,448347652,449475992,450563315,451646629,452735659,454293081,456440497,458944944,461995358,465460151,468963376,472522223,476105901,479713624,483365625,486994645,490628405,494191548,497747399,501267150,504812851,508382799,511978332,515602758,519232424,522824630,525992802,528740902,531196939,533432475,535796884,537707230,538899589,540540048,543024166,545975196,550217528,555061176,560119239,565576038,571196738,576839468,582519126,588264855,594232829,600259337,606217567,612306138,618273685,623943385,629557545,634885240,639887369,644742383,649242974,653377711,657164251,661120687,665447565,669560034,673561825,677416160,681010388,684505423,687813865,690959643,694118828,697116693,699916913,702722575,705518653,708248300,711128857,714220717,717211203,719885860,722288309,724402333,726070329,727268334,727908035,728163229,728333991,728464341,728360684,728032049,727919596,727846044,727924375,728428191,729184823,729990437,730916003,732469869,734351485,736016704,737409380,738737660,740067017,741183688,742194046,743297647,744519366,745660845,746578519,747419066,747463478,746418539
Fiji,,,136971,136630,136280,135920,135562,135205,134848,134493,134138,133785,133432,133080,132730,132380,132031,131683,131336,130989,130644,130300,129956,129614,129272,128931,128591,128252,127914,127577,127241,126847,126396,125889,125325,124706,124090,123477,122867,122260,121656,121151,120745,120437,120227,120113,120000,119887,119774,119661,119548,119826,120500,121576,123060,124958,126884,128841,130827,132845,134893,136861,138748,140549,142262,143886,145528,147188,148868,150567,152302,154430,156963,159916,163301,167135,171058,175073,179183,183389,187694,192262,197105,202234,207660,213395,219288,225343,231567,237961,244533,250379,255472,259780,263274,265920,268593,271292,274019,276774,279556,283611,308317,312854,318779,325977,334264,343704,354116,365295,377081,389328,401851,414547,427706,441394,455223,469021,482366,494644,505992,516965,527647,538010,547927,557250,566301,575817,586613,599300,613623,628866,644596,660640,676973,693598,710567,727466,742663,754784,764373,772713,780437,784838,786860,789209,790811,792247,796542,804575,813964,823432,832516,841324,849897,858306,866699,874929,883096,890655,896728,901390,905176,908359,911067,913467,915576,917209,918371,919022,919002,918472,920430,924615
Finland,Europe,,1622623,1636889,1649431,1660217,1671073,1682000,1692999,1704069,1715212,1724467,1731819,1737255,1740760,1742321,1743882,1745445,1747009,1748575,1750142,1756848,1768778,1786016,1808650,1836768,1865324,1894324,1923774,1953683,1984056,2014466,2044906,2075370,2105854,2136349,2167286,2198671,2230511,2262811,2295580,2327325,2358017,2387622,2416107,2443439,2471080,2499034,2527304,2555893,2584806,2613454,2641828,2669919,2697717,2725213,2752988,2781048,2809393,2838027,2866952,2894150,2919589,2943236,2965061,2985031,3005135,3025375,3045751,3066264,3086979,3109648,3134303,3160974,3189692,3220491,3251587,3282983,3314683,3346688,3379002,3409796,3439042,3466711,3492777,3517209,3541812,3566588,3591537,3616660,3641959,3668255,3695561,3723891,3753260,3783681,3814348,3845264,3876430,3907849,3939523,3972994,4008294,4047494,4090784,4139776,4187367,4235412,4282284,4324585,4360275,4395239,4430178,4461532,4492177,4524291,4549558,4564582,4581791,4607106,4627786,4624400,4606621,4612433,4639834,4666168,4690582,4711384,4725523,4738738,4752401,4764568,4779423,4799868,4826860,4855738,4881748,4902179,4918174,4932176,4946563,4964482,4986551,5013856,5042120,5066609,5088491,5107942,5124717,5139944,5153548,5165500,5176208,5188007,5200588,5212991,5228143,5246070,5266249,5288694,5313358,5338813,5363279,5388173,5413865,5438873,5461436,5479457,5495217,5508146,5515465,5521539,5529468,5535982
France,Europe,https://public.flourish.studio/country-flags/svg/fr.svg,36317907,36422807,36517158,36600899,36684828,36768948,36853256,36937755,37022445,37110539,37202052,37297001,37395401,37497267,37599408,37701824,37804516,37907484,38010729,38103149,38184704,38255352,38315053,38363767,38412539,38461370,38510260,38559209,38608217,38664188,38727144,38797107,38874098,38958140,39042361,39126760,39211339,39296096,39381034,39458204,39527583,39589146,39642871,39688732,39734644,39780605,39826616,39872676,39918787,39965598,40013112,40061330,40110254,40159884,40209573,40259319,40309123,40358986,40408906,40401655,40337510,40216750,40039650,39806486,39574676,39344212,39115087,38887294,38672226,38550359,38521777,38586564,38744811,38996611,39250046,39505129,39761869,40020278,40280367,40477066,40610060,40679030,40683658,40623618,40563668,40503806,40444032,40384347,40324749,40306394,40329369,40393765,40499670,40647177,40795220,40943803,41092927,41242594,41392806,41589702,41842356,42196660,42542396,42883300,43225644,43593852,43959224,44338088,44754360,45201848,45659572,46143028,46635188,47121244,47641948,48168800,48683088,49181404,49647272,50087056,50523588,50970696,51410364,51814076,52163552,52450032,52685272,52925440,53175308,53428780,53713836,54016748,54319652,54592384,54845984,55108104,55371640,55641536,55911476,56169944,56412896,56645216,56864048,57053728,57230064,57420356,57623180,57839364,58080344,58352208,58665456,59014776,59372784,59728260,60108436,60510080,60919152,61329380,61721004,62093300,62444568,62775272,63071412,63335180,63588496,63809768,63989320,64144092,64277812,64399760,64480052,64531448
Gabon,,,294784,298385,301139,303020,304913,306819,308736,310665,312606,314559,316524,318501,320491,322494,324508,326536,328576,330628,332694,334840,337067,339376,341768,344245,346740,349253,351784,354333,356901,359488,362093,364717,367360,370022,372703,375404,378124,380864,383624,385470,386400,386411,385501,383667,381842,380026,378218,376419,374628,372475,369964,367102,363892,360341,356825,353343,349894,346480,343098,340019,337238,334749,332549,330635,328731,326838,324956,323084,321146,320425,320929,322668,325650,329883,334171,338516,342916,347374,351890,356393,360880,365353,369808,374246,378737,383282,387881,392536,397246,402338,407822,413708,420006,426726,433554,440491,447538,454699,461974,468180,472913,475839,478905,482194,485704,489465,493536,497902,502655,507789,513346,519337,525762,532603,539839,547542,555755,564442,573621,584637,597192,609706,622298,635290,648926,663346,678673,694939,712142,730197,749079,768911,789591,811101,833417,856481,880344,905029,930473,956514,983039,1010005,1037451,1065396,1093612,1121961,1150602,1179817,1209839,1240778,1272941,1306593,1341696,1378406,1417115,1458362,1502540,1549774,1599988,1653549,1711117,1772508,1836711,1902230,1966858,2028524,2086210,2140225,2192013,2242788,2292583,2341185
Gambia,,,112288,112875,113539,114280,115026,115777,116532,117293,118059,118829,119604,120385,121170,121961,122757,123558,124364,125175,125992,126890,127872,128938,130090,131329,132579,133842,135116,136403,137702,139013,140337,141673,143022,144384,145758,147146,148547,149961,151389,152768,154099,155379,156608,157785,158972,160166,161370,162583,163805,165036,166277,167526,168785,170054,171331,172619,173916,175223,176539,177830,179094,180331,181541,182723,183913,185110,186316,187529,188654,190129,191963,194161,196732,199683,202678,205718,208804,211936,215115,218297,221483,224670,227859,231049,234284,237564,240890,244262,247682,251353,255283,259479,263949,268700,273537,278460,283473,288575,293769,299207,306793,314626,322836,331382,340247,349380,358757,368420,378457,388885,399656,410815,422322,434181,446384,458916,471761,485139,499164,513697,528741,544328,560562,577501,594918,612922,631898,651947,672985,695166,718597,742853,768275,795567,824805,855965,888988,923922,960847,999738,1040625,1083542,1127156,1168317,1205886,1242160,1279066,1317003,1356198,1396505,1437540,1479456,1522230,1566263,1612237,1660377,1711297,1764889,1820544,1878124,1937284,1998215,2061020,2124876,2189023,2253137,2317212,2381189,2444916,2508882,2574005,2639922
